Subject,Run,Segment,Class,Movement,SMR,Start_Sample,End_Sample,Num_Samples,acc_x_mean,acc_x_std,acc_x_min,acc_x_max,acc_x_range,acc_x_rms,acc_y_mean,acc_y_std,acc_y_min,acc_y_max,acc_y_range,acc_y_rms,acc_z_mean,acc_z_std,acc_z_min,acc_z_max,acc_z_range,acc_z_rms,ang_x_mean,ang_x_std,ang_x_min,ang_x_max,ang_x_range,ang_x_rms,ang_y_mean,ang_y_std,ang_y_min,ang_y_max,ang_y_range,ang_y_rms,ang_z_mean,ang_z_std,ang_z_min,ang_z_max,ang_z_range,ang_z_rms,acc_magnitude_mean,acc_magnitude_std,acc_magnitude_min,acc_magnitude_max,acc_magnitude_range,acc_magnitude_rms,ang_magnitude_mean,ang_magnitude_std,ang_magnitude_min,ang_magnitude_max,ang_magnitude_range,ang_magnitude_rms,duration_seconds,fatigue_duration,fatigue_acc_variability,fatigue_acc_range,fatigue_acc_rms,fatigue_ang_variability,fatigue_ang_range,fatigue_ang_rms,Repetition,fatigue_duration_baseline,fatigue_acc_variability_baseline,fatigue_acc_range_baseline,fatigue_acc_rms_baseline,fatigue_ang_variability_baseline,fatigue_ang_range_baseline,fatigue_ang_rms_baseline,fatigue_duration_deviation,fatigue_duration_ratio,fatigue_acc_variability_deviation,fatigue_acc_variability_ratio,fatigue_acc_range_deviation,fatigue_acc_range_ratio,fatigue_acc_rms_deviation,fatigue_acc_rms_ratio,fatigue_ang_variability_deviation,fatigue_ang_variability_ratio,fatigue_ang_range_deviation,fatigue_ang_range_ratio,fatigue_ang_rms_deviation,fatigue_ang_rms_ratio,Run_Segment_Index,Run_Total_Segments,Run_Progress,fatigue_duration_change,fatigue_acc_variability_change,fatigue_acc_range_change,fatigue_ang_variability_change,fatigue_ang_range_change,movement_degradation_score
S01,1,2,1,Active,No_SMR,3190,3629,440,-0.2603349165482954,0.2853622498977499,-1.30078125,0.017578125,1.318359375,0.3862717727726345,1.6318170720880685,0.4889214532740816,0.67822265625,1.97412109375,1.2958984375,1.7034879348647338,1.5349454012784092,0.2733321524018531,1.2587890625,2.27294921875,1.01416015625,1.5590919955032694,47.93100253018466,13.229962624649517,23.6370849609375,60.897216796875,37.2601318359375,49.72336387050047,3.266447587446733,10.856388647991851,-8.9593505859375,33.936767578125,42.8961181640625,11.337144892687178,-62.13783541592685,124.81812879691611,-177.978515625,179.5111083984375,357.4896240234375,139.4298241644891,2.3394307981510885,0.0944918530803782,1.9716415363794413,2.501481332599862,0.5298397962204204,2.3413339952072185,147.73724349068823,14.69071184265997,124.38500698066484,184.94684824912008,60.56184126845525,148.46420321227714,4.4,4.4,0.0944918530803782,0.5298397962204204,2.3413339952072185,14.69071184265997,60.56184126845525,148.46420321227714,1,4.333333333333333,0.11837210805872138,0.4749823098457789,2.2704600465613987,12.130204897780523,55.00050786163185,151.41467706560564,0.06666666666666732,0.015384615384615536,-0.023880254978343174,-0.20173886711975078,0.05485748637464155,0.11549374626699914,0.07087394864581986,0.031215677524543156,2.5605069448794477,0.2110852179708808,5.561333406823394,0.10111421917801888,-2.9504738533285035,-0.019486049242439744,1,14,0.07142857142857142,,,,,,0.128963333184053
S01,1,4,2,Active,No_SMR,3840,4259,420,-0.7676164899553571,0.313361905182495,-1.2099609375,0.09619140625,1.30615234375,0.8291144428068938,1.1555687313988094,0.3636036825488861,0.93701171875,1.95849609375,1.021484375,1.2114234317321773,1.5224388485863096,0.1166614706652072,1.2041015625,1.673828125,0.4697265625,1.52690207492903,38.15049525669643,11.617518014624764,28.355712890625,64.3194580078125,35.9637451171875,39.880158138494735,29.948390415736608,11.89917041430762,1.9940185546875,44.9615478515625,42.967529296875,32.225709379967384,89.30289132254464,117.59837159037302,-179.6539306640625,179.296875,358.9508056640625,147.66307391922217,2.114891044760581,0.116943862699053,1.932362667400464,2.427496164163688,0.4951334967632239,2.1181141226674565,155.96935448601624,10.349988971511747,140.49447431004072,192.37926422274367,51.88478991270296,156.3115694933268,4.2,4.2,0.116943862699053,0.4951334967632239,2.1181141226674565,10.349988971511747,51.88478991270296,156.3115694933268,2,4.333333333333333,0.11837210805872138,0.4749823098457789,2.2704600465613987,12.130204897780523,55.00050786163185,151.41467706560564,-0.13333333333333286,-0.030769230769230663,-0.001428245359668373,-0.012065725474449243,0.020151186917444996,0.042425131420131934,-0.1523459238939422,-0.06709914324397358,-1.7802159262687756,-0.1467589328680263,-3.1157179489288893,-0.05664889416598283,4.896892427721156,0.032340936312266526,2,14,0.14285714285714285,-0.20000000000000018,0.0224520096186748,-0.034706299457196554,-4.340722871148223,-8.677051355752283,0.057733582939564196
S01,1,6,1,Active,No_SMR,4460,4899,440,-0.2323308771306818,0.3790995702391875,-1.279296875,0.07568359375,1.35498046875,0.444628069990918,1.7429021661931818,0.372634732231089,0.912109375,1.97119140625,1.05908203125,1.7822919526794203,1.4677900834517046,0.0540164875217576,1.33056640625,1.6259765625,0.29541015625,1.4687836838702115,44.98454423384233,5.882472875104211,32.80517578125,52.0367431640625,19.2315673828125,45.36752921476829,2.5735099098899146,12.451742034082,-8.4759521484375,28.916015625,37.3919677734375,12.714905935146597,-87.53659057617188,111.616414862256,-178.978271484375,179.5880126953125,358.5662841796875,141.84808337233036,2.3475491552749244,0.1436806083967329,2.0452112322887763,2.445184868842469,0.3999736365536925,2.3519320218095205,149.0376882714488,11.349913879169852,134.02983007720627,186.5847224809436,52.55489240373734,149.468258491213,4.4,4.4,0.1436806083967329,0.3999736365536925,2.3519320218095205,11.349913879169852,52.55489240373734,149.468258491213,3,4.333333333333333,0.11837210805872138,0.4749823098457789,2.2704600465613987,12.130204897780523,55.00050786163185,151.41467706560564,0.06666666666666732,0.015384615384615536,0.025308500338011533,0.21380459259419993,-0.07500867329208638,-0.15791887768713073,0.08147197524812189,0.03588346571943022,-0.7802910186106704,-0.06432628510285437,-2.4456154578945117,-0.044465325012036185,-1.946418574392652,-0.012854887069826784,3,14,0.21428571428571427,0.20000000000000018,0.026736745697679906,-0.09515986020953138,0.9999249076581052,0.6701024910343776,0.09917993915616735
S01,1,8,2,Active,No_SMR,5100,5589,490,-0.7785405373086735,0.3360191556108391,-1.0830078125,0.1171875,1.2001953125,0.8479588676169967,1.1832629145408162,0.3599729226845334,0.96142578125,1.947265625,0.98583984375,1.2368070302167886,1.4556979432397958,0.0596225011040874,1.21142578125,1.52197265625,0.310546875,1.456918441296725,38.750774772799744,10.05648216199282,29.11376953125,61.9189453125,32.80517578125,40.03442742149228,32.11801458864796,13.164256629888463,0.9063720703125,46.0107421875,45.1043701171875,34.71115834618841,89.77676453882334,121.9629281385812,-179.2803955078125,179.505615234375,358.7860107421875,151.44247518842278,2.08537325487393,0.150338716203502,1.979164491618785,2.449139607442161,0.4699751158233762,2.0907743100952936,160.25071308182413,7.891719784431096,150.2866391304688,191.6631250259416,41.376485895472825,160.4445174628817,4.9,4.9,0.150338716203502,0.4699751158233762,2.0907743100952936,7.891719784431096,41.376485895472825,160.4445174628817,4,4.333333333333333,0.11837210805872138,0.4749823098457789,2.2704600465613987,12.130204897780523,55.00050786163185,151.41467706560564,0.5666666666666673,0.13076923076923092,0.031966608144780626,0.27005186161695127,-0.005007194022402683,-0.010541853704043124,-0.17968573646610508,-0.07914067315927374,-4.238485113349427,-0.34941578885653835,-13.624021966159027,-0.24770720300317617,9.029840397276047,0.05963649345144762,4,14,0.2857142857142857,0.5,0.006658107806769092,0.0700014792696837,-3.458194094738756,-11.178406508264516,0.20169718758998795
S01,1,10,1,Active,No_SMR,5790,6239,450,-0.2391514756944444,0.3790739544559051,-1.3056640625,0.04931640625,1.35498046875,0.4482080892550558,1.7589203559027775,0.3605321199170477,0.92919921875,1.96142578125,1.0322265625,1.7954899687553352,1.4218012152777777,0.0474067743797777,1.2509765625,1.48779296875,0.23681640625,1.4225913320495318,45.30916748046875,5.322095621470143,35.3594970703125,52.3114013671875,16.951904296875,45.62066811848812,3.3638427734375,12.633941817800942,-8.6517333984375,30.5474853515625,39.19921875,13.07409362288595,-91.587890625,109.69133647420507,-179.8077392578125,178.8299560546875,358.6376953125,142.90042339557374,2.3286186366437405,0.1613502879389637,1.96662624797128,2.4319642613758985,0.4653380134046183,2.3341895418318463,150.13076878761498,11.56537042430002,134.639995013967,187.45662740989687,52.81663239592993,150.5745937742203,4.5,4.5,0.1613502879389637,0.4653380134046183,2.3341895418318463,11.56537042430002,52.81663239592993,150.5745937742203,5,4.333333333333333,0.11837210805872138,0.4749823098457789,2.2704600465613987,12.130204897780523,55.00050786163185,151.41467706560564,0.16666666666666696,0.03846153846153853,0.042978179880242315,0.36307691554265414,-0.009644296441160605,-0.020304538171731053,0.06372949527044769,0.028068978957355235,-0.5648344734805022,-0.04656429782021659,-2.1838754657019237,-0.039706460005715455,-0.8400832913853549,-0.0055482289277766625,5,14,0.35714285714285715,-0.40000000000000036,0.01101157173546169,-0.004637102418757921,3.6736506398689244,11.440146500457104,0.10162275000037116
S01,1,12,2,Active,No_SMR,6440,6849,410,-0.7449980945121951,0.3570622395510889,-1.1123046875,0.0546875,1.1669921875,0.8261450258520237,1.27109375,0.3952309196521627,0.9482421875,1.955078125,1.0068359375,1.3311223839820878,1.346437928734756,0.0841086054318977,1.111328125,1.51416015625,0.40283203125,1.34906239790576,44.70166759956174,10.602279847651385,33.7060546875,64.22607421875,30.52001953125,45.94178298836063,33.377268721417686,15.353592732949142,1.6314697265625,50.29541015625,48.6639404296875,36.739282479534026,62.14218214081555,140.62673926455963,-179.1925048828125,179.7308349609375,358.92333984375,153.74501812222968,2.059207651625695,0.1847128107299093,1.876527418432816,2.4440070619527927,0.5674796435199772,2.067455382425806,164.34293919014652,9.464126990448255,153.20321013644244,193.81147086497023,40.6082607285278,164.61455858661273,4.1,4.1,0.1847128107299093,0.5674796435199772,2.067455382425806,9.464126990448255,40.6082607285278,164.61455858661273,6,4.333333333333333,0.11837210805872138,0.4749823098457789,2.2704600465613987,12.130204897780523,55.00050786163185,151.41467706560564,-0.2333333333333334,-0.05384615384615386,0.06634070267118793,0.5604420142477989,0.09249733367419827,0.19473848132203292,-0.2030046641355927,-0.08941124704794623,-2.6660779073322676,-0.21978836547271208,-14.39224713310405,-0.26167480433656193,13.199881521007086,0.087177027860303,6,14,0.42857142857142855,-0.40000000000000036,0.02336252279094561,0.10214163011535887,-2.1012434338517654,-12.208371667402126,0.2580979638450519
S01,1,14,1,Active,No_SMR,7060,7479,420,-0.3166748046875,0.3301878186701582,-1.3857421875,-0.01123046875,1.37451171875,0.4575007404606286,1.7770775204613096,0.3425212798574075,0.93701171875,1.97509765625,1.0380859375,1.8097859931174385,1.3229713076636904,0.0475275888636393,1.1337890625,1.41357421875,0.27978515625,1.3238247439161146,47.33613804408482,5.31568255155209,37.1173095703125,54.3878173828125,17.2705078125,47.63366924684188,6.513636997767857,11.124062376548832,-4.075927734375,32.376708984375,36.45263671875,12.890780841207391,-103.23101806640624,103.91559631894977,-179.18701171875,179.0936279296875,358.2806396484375,146.47557560682128,2.283207270219646,0.1554552060451552,1.8985613872779612,2.4098835053522603,0.5113221180742988,2.288480767017862,154.20210454141315,10.59297173267529,137.22493319761713,187.41805621001825,50.19312301240109,154.5646561344578,4.2,4.2,0.1554552060451552,0.5113221180742988,2.288480767017862,10.59297173267529,50.19312301240109,154.5646561344578,7,4.333333333333333,0.11837210805872138,0.4749823098457789,2.2704600465613987,12.130204897780523,55.00050786163185,151.41467706560564,-0.13333333333333286,-0.030769230769230663,0.03708309798643382,0.31327564064363744,0.036339808228519954,0.07650770876144641,0.0180207204564633,0.007937034824178298,-1.5372331651052331,-0.12672771631306098,-4.807384849230765,-0.0874061901632799,3.1499790688521614,0.020803657412202674,7,14,0.5,0.10000000000000053,-0.029257604684754107,-0.056157525445678314,1.1288447422270345,9.584862283873285,0.1269372973301311
S01,1,16,2,Active,No_SMR,7690,8159,470,-0.7740608377659575,0.310413189640513,-1.16162109375,-0.107421875,1.05419921875,0.8339823312671156,1.260222739361702,0.3919151202231657,0.93798828125,1.96240234375,1.0244140625,1.3197571042672402,1.3211384225398937,0.0767099153617909,1.10693359375,1.4248046875,0.31787109375,1.3233635715955052,46.4734652904754,9.790781731482248,37.9248046875,63.9678955078125,26.0430908203125,47.49360360110136,31.86266570395612,13.283917237283488,4.74609375,46.944580078125,42.198486328125,34.52089110856002,69.53151232130985,138.94562499649325,-179.912109375,179.5550537109375,359.4671630859375,155.37219156385288,2.03970944458313,0.1679937917294384,1.8400697994468984,2.377121078588273,0.5370512791413753,2.0466012033993324,165.84257662107046,9.179939957310063,151.37127509227716,193.6109483829036,42.23967329062643,166.0959127049856,4.7,4.7,0.1679937917294384,0.5370512791413753,2.0466012033993324,9.179939957310063,42.23967329062643,166.0959127049856,8,4.333333333333333,0.11837210805872138,0.4749823098457789,2.2704600465613987,12.130204897780523,55.00050786163185,151.41467706560564,0.36666666666666714,0.08461538461538473,0.04962168367071702,0.419200810769552,0.06206896929559641,0.13067638101248333,-0.22385884316206628,-0.09859624858895864,-2.9502649404704595,-0.24321641434187752,-12.760834571005425,-0.2320130316452466,14.681235639379963,0.09696045273747676,8,14,0.5714285714285714,0.5,0.012538585684283204,0.025729161067076456,-1.4130317753652264,-7.9534497217746605,0.22194440447690886
S01,1,18,1,Active,No_SMR,8370,8839,470,-0.2219279837101063,0.3462550056720075,-1.31640625,0.1005859375,1.4169921875,0.4112718795475265,1.809624335106383,0.3224725745697293,0.947265625,1.99560546875,1.04833984375,1.8381318765417367,1.3561564993351063,0.0622637791962814,1.1181640625,1.45166015625,0.33349609375,1.357585072431431,46.77651263297872,5.568207228407513,36.6064453125,54.0582275390625,17.4517822265625,47.10676242156436,4.348084794714096,10.764600016670158,-5.361328125,32.091064453125,37.452392578125,11.609584613625032,-107.1499503927028,95.1687089688824,-179.82421875,178.582763671875,358.406982421875,143.311531413081,2.3164554554062327,0.1581072214674724,1.913533351702233,2.428861667816541,0.5153283161143081,2.321833452975053,150.81517447007002,12.129333415127812,129.0790180888378,187.92505455015348,58.84603646131566,151.3011056030495,4.7,4.7,0.1581072214674724,0.5153283161143081,2.321833452975053,12.129333415127812,58.84603646131566,151.3011056030495,9,4.333333333333333,0.11837210805872138,0.4749823098457789,2.2704600465613987,12.130204897780523,55.00050786163185,151.41467706560564,0.36666666666666714,0.08461538461538473,0.03973511340875101,0.33567969735775455,0.04034600626852919,0.08494212401642717,0.05137340641365418,0.02262687092488545,-0.0008714826527107533,-7.184401747988688e-05,3.84552859968381,0.06991805619973986,-0.1135714625561377,-0.0007500690471831139,9,14,0.6428571428571429,0.0,-0.009886570261966016,-0.02172296302706722,2.9493934578177488,16.606363170689235,0.11504542124135723
S01,1,20,2,Active,No_SMR,9040,9499,460,-0.7968856148097826,0.3282088050542323,-1.2333984375,0.13330078125,1.36669921875,0.8618281167413212,1.182710597826087,0.3616656238798892,0.9453125,1.96923828125,1.02392578125,1.2367725666857952,1.3752505095108696,0.1065990502964949,1.02734375,1.509765625,0.482421875,1.3793756998852853,43.85121221127717,10.473321325912837,35.4803466796875,68.323974609375,32.8436279296875,45.08457909301456,32.74250594429348,13.291726693260523,3.175048828125,52.3773193359375,49.2022705078125,35.33753944462501,88.75278904127038,124.27168065269343,-179.8516845703125,179.4891357421875,359.3408203125,152.7105372096152,2.0374727638733185,0.154233119496074,1.7773361038211215,2.417009992437576,0.6396738886164541,2.043289359328845,162.82839868113328,9.43266388761478,146.8507110633222,195.15514525222227,48.30443418890008,163.10079442125345,4.6,4.6,0.154233119496074,0.6396738886164541,2.043289359328845,9.43266388761478,48.30443418890008,163.10079442125345,10,4.333333333333333,0.11837210805872138,0.4749823098457789,2.2704600465613987,12.130204897780523,55.00050786163185,151.41467706560564,0.2666666666666666,0.06153846153846153,0.03586101143735261,0.3029515316189425,0.16469157877067525,0.3467320263446204,-0.22717068723255363,-0.10005491511581655,-2.697541010165743,-0.22238214711932155,-6.696073672731771,-0.12174566986867637,11.68611735564781,0.07717955473090891,10,14,0.7142857142857143,-0.10000000000000053,-0.003874101971398397,0.12434557250214606,-2.6966695275130323,-10.541602272415581,0.21106996729800448
