Subject,Run,Segment,Class,Movement,SMR,Start_Sample,End_Sample,Num_Samples,acc_x_mean,acc_x_std,acc_x_min,acc_x_max,acc_x_range,acc_x_rms,acc_y_mean,acc_y_std,acc_y_min,acc_y_max,acc_y_range,acc_y_rms,acc_z_mean,acc_z_std,acc_z_min,acc_z_max,acc_z_range,acc_z_rms,ang_x_mean,ang_x_std,ang_x_min,ang_x_max,ang_x_range,ang_x_rms,ang_y_mean,ang_y_std,ang_y_min,ang_y_max,ang_y_range,ang_y_rms,ang_z_mean,ang_z_std,ang_z_min,ang_z_max,ang_z_range,ang_z_rms,acc_magnitude_mean,acc_magnitude_std,acc_magnitude_min,acc_magnitude_max,acc_magnitude_range,acc_magnitude_rms,ang_magnitude_mean,ang_magnitude_std,ang_magnitude_min,ang_magnitude_max,ang_magnitude_range,ang_magnitude_rms,duration_seconds
S01,1,1,0,Active,No_SMR,2990,3189,200,-0.5757275390625,0.003637020176443208,-0.58740234375,-0.56689453125,0.0205078125,0.5757390269477364,0.81739013671875,0.0022088871807163847,0.8115234375,0.822265625,0.0107421875,0.8173931213239282,2.0103857421875,0.002614339161042882,2.0,2.017578125,0.017578125,2.010387442051913,23.69220886230469,0.04369527158917716,23.6151123046875,23.741455078125,0.1263427734375,23.692249155616864,16.04619140625,0.021136621777085206,16.0125732421875,16.10595703125,0.0933837890625,16.046205327204046,165.20278930664062,0.044347732504230825,165.1190185546875,165.2838134765625,0.164794921875,165.20279525908657,2.245274870807487,0.002321760477125824,2.2386897115507702,2.2528171387178983,0.014127427167128115,2.2452760652308292,167.662651316704,0.04797741957292287,167.5741465102943,167.74915253755424,0.17500602725993986,167.66265814685838,2.0
S01,1,2,1,Active,No_SMR,3190,3629,440,-0.26033491654829544,0.2853622498977499,-1.30078125,0.017578125,1.318359375,0.3862717727726345,1.6318170720880683,0.48892145327408165,0.67822265625,1.97412109375,1.2958984375,1.7034879348647338,1.5349454012784092,0.2733321524018531,1.2587890625,2.27294921875,1.01416015625,1.5590919955032694,47.93100253018466,13.229962624649517,23.6370849609375,60.897216796875,37.2601318359375,49.72336387050047,3.266447587446733,10.856388647991853,-8.9593505859375,33.936767578125,42.8961181640625,11.337144892687178,-62.137835415926844,124.81812879691611,-177.978515625,179.5111083984375,357.4896240234375,139.4298241644891,2.3394307981510885,0.0944918530803782,1.9716415363794415,2.501481332599862,0.5298397962204204,2.3413339952072185,147.73724349068823,14.69071184265997,124.38500698066483,184.94684824912008,60.561841268455254,148.46420321227714,4.4
S01,1,3,0,Active,No_SMR,3630,3839,210,-0.07617652529761905,0.02307335222493654,-0.173828125,-0.01220703125,0.16162109375,0.07959423716146025,1.9532691592261904,0.008406226869903149,1.91650390625,1.994140625,0.07763671875,1.9532872479577543,1.3877185639880953,0.015030949611758087,1.33740234375,1.44873046875,0.111328125,1.3877999647944268,56.12888881138393,0.0802395334619542,55.8544921875,56.392822265625,0.538330078125,56.12894616491058,1.22222900390625,0.5933019836325191,-0.098876953125,1.988525390625,2.08740234375,1.3586209853273818,-144.50395856584822,1.631238768080526,-146.744384765625,-140.9161376953125,5.8282470703125,144.51316542488047,2.3974195798053723,0.0058805564446933745,2.36720708958543,2.4200393118699735,0.05283222228454365,2.3974267575688533,155.02912094032266,1.5304390534401848,151.6447943198285,157.13704599145427,5.49225167162578,155.03663899118837,2.1
S01,1,4,2,Active,No_SMR,3840,4259,420,-0.7676164899553571,0.313361905182495,-1.2099609375,0.09619140625,1.30615234375,0.8291144428068938,1.1555687313988094,0.36360368254888614,0.93701171875,1.95849609375,1.021484375,1.2114234317321773,1.5224388485863096,0.11666147066520724,1.2041015625,1.673828125,0.4697265625,1.5269020749290299,38.15049525669643,11.617518014624764,28.355712890625,64.3194580078125,35.9637451171875,39.880158138494735,29.948390415736608,11.89917041430762,1.9940185546875,44.9615478515625,42.967529296875,32.225709379967384,89.30289132254464,117.59837159037302,-179.6539306640625,179.296875,358.9508056640625,147.66307391922217,2.114891044760581,0.11694386269905307,1.9323626674004641,2.427496164163688,0.49513349676322393,2.1181141226674565,155.96935448601624,10.349988971511749,140.49447431004072,192.37926422274367,51.884789912702956,156.3115694933268,4.2
S01,1,5,0,Active,No_SMR,4260,4459,200,-0.902509765625,0.0037468833687810525,-0.91357421875,-0.88525390625,0.0283203125,0.9025175434214405,0.9502783203125,0.0023776389067591947,0.94384765625,0.9560546875,0.01220703125,0.9502812947873474,1.5798974609375,0.004521365730591055,1.56787109375,1.595703125,0.02783203125,1.5799039305681941,32.677459716796875,0.040275607693472326,32.6239013671875,32.7996826171875,0.17578125,32.67748453702423,28.990200805664063,0.46018061807120086,28.399658203125,30.0640869140625,1.6644287109375,28.99385295116835,155.9243408203125,0.9573556615655935,153.907470703125,157.2528076171875,3.3453369140625,155.92727981373787,2.0527199684192645,0.003108827410893893,2.044938314202368,2.06095840177428,0.01602008757191209,2.0527223107938926,161.9291986930993,0.8463372718896105,160.17501755169422,163.12818661816462,2.9531690664703945,161.93139934778904,2.0
S01,1,6,1,Active,No_SMR,4460,4899,440,-0.23233087713068182,0.37909957023918756,-1.279296875,0.07568359375,1.35498046875,0.444628069990918,1.7429021661931818,0.372634732231089,0.912109375,1.97119140625,1.05908203125,1.7822919526794203,1.4677900834517046,0.05401648752175769,1.33056640625,1.6259765625,0.29541015625,1.4687836838702117,44.98454423384233,5.882472875104211,32.80517578125,52.0367431640625,19.2315673828125,45.36752921476829,2.5735099098899146,12.451742034081999,-8.4759521484375,28.916015625,37.3919677734375,12.714905935146597,-87.53659057617188,111.616414862256,-178.978271484375,179.5880126953125,358.5662841796875,141.84808337233036,2.3475491552749244,0.14368060839673297,2.0452112322887763,2.445184868842469,0.39997363655369256,2.3519320218095205,149.03768827144881,11.349913879169852,134.02983007720627,186.5847224809436,52.55489240373734,149.468258491213,4.4
S01,1,7,0,Active,No_SMR,4900,5099,200,-0.02256591796875,0.00912744827609007,-0.0419921875,0.0029296875,0.044921875,0.024341958955783605,1.942666015625,0.0026696796879458157,1.9365234375,1.94970703125,0.01318359375,1.9426678500078054,1.464697265625,0.00459685095100673,1.4521484375,1.47509765625,0.02294921875,1.464704479056447,53.07182006835937,0.453631099149779,52.05322265625,53.6517333984375,1.5985107421875,53.0737587376514,0.5577484130859375,0.4166139905620989,-0.428466796875,0.955810546875,1.38427734375,0.6961684490351155,-142.18648681640624,0.517193062397989,-142.9376220703125,-141.04248046875,1.8951416015625,142.18742743947462,2.4330854736331986,0.0022850580601089946,2.427103170769518,2.4383111239934365,0.011207953223918654,2.433086541286144,151.7700862951892,0.644999987181236,150.34195312511704,152.67804646894726,2.336093343830214,151.77145001253604,2.0
S01,1,8,2,Active,No_SMR,5100,5589,490,-0.7785405373086735,0.3360191556108391,-1.0830078125,0.1171875,1.2001953125,0.8479588676169967,1.1832629145408162,0.3599729226845334,0.96142578125,1.947265625,0.98583984375,1.2368070302167886,1.4556979432397958,0.05962250110408749,1.21142578125,1.52197265625,0.310546875,1.456918441296725,38.750774772799744,10.05648216199282,29.11376953125,61.9189453125,32.80517578125,40.03442742149228,32.11801458864796,13.164256629888465,0.9063720703125,46.0107421875,45.1043701171875,34.71115834618841,89.77676453882334,121.9629281385812,-179.2803955078125,179.505615234375,358.7860107421875,151.44247518842278,2.08537325487393,0.150338716203502,1.979164491618785,2.449139607442161,0.46997511582337625,2.0907743100952936,160.25071308182413,7.891719784431096,150.28663913046879,191.6631250259416,41.376485895472825,160.4445174628817,4.9
S01,1,9,0,Active,No_SMR,5590,5789,200,-0.93674072265625,0.007117810537158197,-0.95654296875,-0.90966796875,0.046875,0.936767764555013,0.972470703125,0.0034003311669126785,0.96484375,0.9853515625,0.0205078125,0.9724766478885118,1.46627197265625,0.0065991960606637135,1.45361328125,1.48291015625,0.029296875,1.4662868229599206,35.07673645019531,0.18169501666967458,34.7442626953125,35.35400390625,0.6097412109375,35.077207030713595,30.920388793945314,0.34078306731043834,30.552978515625,31.8328857421875,1.2799072265625,30.922266674157385,157.88773498535156,0.6067488228053923,156.68701171875,158.7139892578125,2.0269775390625,157.88890082250424,1.9932936447187404,0.004720159656867677,1.9826367191348104,2.00738651491679,0.024749795781979556,1.9932992054841567,164.66690574131667,0.5601380502440768,163.61942441613633,165.44944990693804,1.8300254908017166,164.66785366999179,2.0
S01,1,10,1,Active,No_SMR,5790,6239,450,-0.23915147569444445,0.37907395445590514,-1.3056640625,0.04931640625,1.35498046875,0.4482080892550558,1.7589203559027777,0.3605321199170477,0.92919921875,1.96142578125,1.0322265625,1.7954899687553352,1.4218012152777777,0.047406774379777715,1.2509765625,1.48779296875,0.23681640625,1.4225913320495318,45.30916748046875,5.322095621470143,35.3594970703125,52.3114013671875,16.951904296875,45.62066811848812,3.3638427734375,12.633941817800942,-8.6517333984375,30.5474853515625,39.19921875,13.07409362288595,-91.587890625,109.69133647420507,-179.8077392578125,178.8299560546875,358.6376953125,142.90042339557374,2.3286186366437405,0.16135028793896378,1.9666262479712802,2.4319642613758985,0.46533801340461833,2.3341895418318463,150.13076878761498,11.565370424300019,134.639995013967,187.45662740989692,52.81663239592993,150.5745937742203,4.5
S01,1,11,0,Active,No_SMR,6240,6439,200,-0.044208984375,0.012605681945681233,-0.07470703125,-0.0146484375,0.06005859375,0.04597105085577953,1.94632568359375,0.0038771306917283013,1.93896484375,1.95849609375,0.01953125,1.946329545261819,1.44168701171875,0.0055897940814079485,1.42822265625,1.45556640625,0.02734375,1.441697848218,53.374603271484375,0.4594701742577481,52.3333740234375,54.03076171875,1.6973876953125,53.376580887402135,1.444757080078125,0.23163246434714463,0.94482421875,1.7578125,0.81298828125,1.4632076472515447,-143.97511596679686,0.541727170021928,-144.7613525390625,-142.9046630859375,1.856689453125,143.97613512655266,2.422559484593757,0.0032120121757519006,2.4148469903307737,2.4327846302550498,0.017937639924276105,2.422561603310074,153.55741894314204,0.6702113579994744,152.1890351949451,154.5244841461342,2.3354489511891074,153.5588742138588,2.0
S01,1,12,2,Active,No_SMR,6440,6849,410,-0.7449980945121951,0.35706223955108896,-1.1123046875,0.0546875,1.1669921875,0.8261450258520237,1.27109375,0.3952309196521627,0.9482421875,1.955078125,1.0068359375,1.3311223839820878,1.346437928734756,0.08410860543189771,1.111328125,1.51416015625,0.40283203125,1.3490623979057599,44.70166759956174,10.602279847651383,33.7060546875,64.22607421875,30.52001953125,45.94178298836063,33.377268721417686,15.353592732949142,1.6314697265625,50.29541015625,48.6639404296875,36.739282479534026,62.14218214081555,140.62673926455963,-179.1925048828125,179.7308349609375,358.92333984375,153.74501812222968,2.059207651625695,0.18471281072990936,1.8765274184328156,2.4440070619527927,0.5674796435199772,2.067455382425806,164.34293919014652,9.464126990448255,153.20321013644244,193.81147086497023,40.608260728527796,164.61455858661273,4.1
