Model,Accuracy,Precision,Recall,F1
Random Forest,0.8313492063492064,0.7778702163061564,0.9275793650793651,0.8461538461538461
XGBoost,0.8249007936507936,0.7572663000785546,0.9563492063492064,0.8452433143358177
